Datetime,Temperature,Hour
2024-01-01T00:00:00,19.5,1
2024-01-01T01:00:00,19.2,2
2024-01-01T02:00:00,19,3
2024-01-01T03:00:00,19.1,4
2024-01-01T04:00:00,18.9,5
2024-01-01T05:00:00,18.5,6
2024-01-01T06:00:00,18.1,7
2024-01-01T07:00:00,18.4,8
2024-01-01T08:00:00,18.6,9
2024-01-01T09:00:00,19.1,10
2024-01-01T10:00:00,19.9,11
2024-01-01T11:00:00,20.3,12
2024-01-01T12:00:00,20.1,13
2024-01-01T13:00:00,21,14
2024-01-01T14:00:00,20.2,15
2024-01-01T15:00:00,19.1,16
2024-01-01T16:00:00,20.9,17
2024-01-01T17:00:00,20.1,18
2024-01-01T18:00:00,20,19
2024-01-01T19:00:00,19.1,20
2024-01-01T20:00:00,18,21
2024-01-01T21:00:00,16.9,22
2024-01-01T22:00:00,16.1,23
2024-01-01T23:00:00,16.1,24
2024-01-02T00:00:00,15.9,25
2024-01-02T01:00:00,14.9,26
2024-01-02T02:00:00,15.8,27
2024-01-02T03:00:00,15.1,28
2024-01-02T04:00:00,15.1,29
2024-01-02T05:00:00,14,30
2024-01-02T06:00:00,13.8,31
2024-01-02T07:00:00,14.1,32
2024-01-02T08:00:00,16,33
2024-01-02T09:00:00,18,34
2024-01-02T10:00:00,19,35
2024-01-02T11:00:00,20.2,36
2024-01-02T12:00:00,20.8,37
2024-01-02T13:00:00,21.1,38
2024-01-02T14:00:00,21.1,39
2024-01-02T15:00:00,20.9,40
2024-01-02T16:00:00,21,41
2024-01-02T17:00:00,20.9,42
2024-01-02T18:00:00,20,43
2024-01-02T19:00:00,18.9,44
2024-01-02T20:00:00,18.1,45
2024-01-02T21:00:00,17,46
2024-01-02T22:00:00,17,47
2024-01-02T23:00:00,15.9,48
2024-01-03T00:00:00,14.9,49
2024-01-03T01:00:00,14.8,50
2024-01-03T02:00:00,14.9,51
2024-01-03T03:00:00,14.8,52
2024-01-03T04:00:00,14.1,53
2024-01-03T05:00:00,14,54
2024-01-03T06:00:00,14,55
2024-01-03T07:00:00,14.8,56
2024-01-03T08:00:00,15.8,57
2024-01-03T09:00:00,18,58
2024-01-03T10:00:00,19.2,59
2024-01-03T11:00:00,20.8,60
2024-01-03T12:00:00,21,61
2024-01-03T13:00:00,20.8,62
2024-01-03T14:00:00,21.9,63
2024-01-03T15:00:00,22,64
2024-01-03T16:00:00,21.9,65
2024-01-03T17:00:00,21.9,66
2024-01-03T18:00:00,20.9,67
2024-01-03T19:00:00,20.1,68
2024-01-03T20:00:00,18.9,69
2024-01-03T21:00:00,18.8,70
2024-01-03T22:00:00,18,71
2024-01-03T23:00:00,17,72
2024-01-04T00:00:00,16.8,73
2024-01-04T01:00:00,17,74
2024-01-04T02:00:00,17,75
2024-01-04T03:00:00,16.9,76
2024-01-04T04:00:00,17,77
2024-01-04T05:00:00,16.8,78
2024-01-04T06:00:00,16,79
2024-01-04T07:00:00,17,80
2024-01-04T08:00:00,18.8,81
2024-01-04T09:00:00,19,82
2024-01-04T10:00:00,20,83
2024-01-04T11:00:00,20.8,84
2024-01-04T12:00:00,22,85
2024-01-04T13:00:00,23,86
2024-01-04T14:00:00,22.1,87
2024-01-04T15:00:00,22,88
2024-01-04T16:00:00,22,89
2024-01-04T17:00:00,23,90
2024-01-04T18:00:00,22.8,91
2024-01-04T19:00:00,21.1,92
2024-01-04T20:00:00,20.9,93
2024-01-04T21:00:00,19,94
2024-01-04T22:00:00,18.8,95
2024-01-04T23:00:00,17.8,96
2024-01-05T00:00:00,17,97
2024-01-05T01:00:00,17,98
2024-01-05T02:00:00,16.1,99
2024-01-05T03:00:00,16.8,100
2024-01-05T04:00:00,16.8,101
2024-01-05T05:00:00,16.8,102
2024-01-05T06:00:00,15.9,103
2024-01-05T07:00:00,16.9,104
2024-01-05T08:00:00,18.8,105
2024-01-05T09:00:00,20,106
2024-01-05T10:00:00,20.9,107
2024-01-05T11:00:00,21.1,108
2024-01-05T12:00:00,20.1,109
2024-01-05T13:00:00,21.1,110
2024-01-05T14:00:00,21,111
2024-01-05T15:00:00,22,112
2024-01-05T16:00:00,21,113
2024-01-05T17:00:00,21.1,114
